31,76,3,1345,4.6,8.5,0.547,0.0,0.1,0.33299999999999996,4.6,8.4,0.55,1.1,1.6,0.7,0.7,3.3,4.0,3.7,1.0,0.5,1.7,3.2,10.4
28,36,33,883,7.1,16.3,0.43799999999999994,2.4,6.4,0.37200000000000005,4.8,9.9,0.48,4.7,5.7,0.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3
26,75,75,2694,8.8,19.9,0.444,2.9,7.7,0.37,6.0,12.1,0.49200000000000005,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0
29,69,24,1732,4.9,10.8,0.45399999999999996,0.7,2.5,0.28800000000000003,4.2,8.4,0.502,3.6,4.5,0.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
27,18,3,174,4.1,9.7,0.426,2.1,5.6,0.37,2.1,4.1,0.5,1.9,1.9,1.0,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
25,80,22,2003,5.4,11.9,0.452,0.9,2.4,0.35600000000000004,4.5,9.5,0.47700000000000004,1.7,2.2,0.77,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3
20,60,0,774,3.5,8.4,0.414,1.2,3.4,0.35600000000000004,2.3,5.0,0.45399999999999996,1.5,2.0,0.767,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7
24,73,0,2178,5.9,13.6,0.433,1.5,4.1,0.37200000000000005,4.4,9.5,0.46,3.2,4.2,0.768,0.8,4.0,4.8,3.9,1.4,0.7,1.5,2.9,16.6
27,81,13,1802,3.8,10.7,0.359,1.6,5.0,0.313,2.3,5.7,0.39899999999999997,2.3,3.0,0.75,0.6,3.3,3.9,7.9,1.4,0.1,2.6,2.3,11.5
26,52,50,1424,7.2,17.1,0.419,1.7,4.7,0.359,5.5,12.5,0.442,3.0,3.4,0.868,0.5,2.4,2.9,6.8,0.9,0.1,2.9,3.3,19.0
25,8,1,84,5.6,16.7,0.33299999999999996,1.3,4.7,0.273,4.3,12.0,0.35700000000000004,2.6,3.0,0.857,0.4,3.4,3.9,8.1,0.9,0.0,1.3,2.1,15.0
22,5,0,17,6.4,8.5,0.75,2.1,2.1,1.0,4.2,6.4,0.667,6.4,12.7,0.5,4.2,4.2,8.5,6.4,0.0,0.0,0.0,0.0,21.2
33,2,0,33,2.2,3.3,0.667,0.0,1.1,0.0,2.2,2.2,1.0,2.2,2.2,1.0,0.0,0.0,0.0,5.5,2.2,0.0,3.3,4.4,6.5
24,72,72,2525,9.6,20.2,0.473,2.5,6.3,0.401,7.0,14.0,0.505,4.2,4.7,0.905,0.7,2.5,3.3,6.0,1.2,0.3,2.6,2.2,25.9
33,23,1,237,3.8,10.3,0.368,0.6,2.9,0.21100000000000002,3.2,7.4,0.429,1.4,2.6,0.529,0.3,3.3,3.6,7.9,1.5,0.3,2.9,2.4,9.6
26,67,61,2190,6.7,14.7,0.45399999999999996,1.6,4.6,0.35600000000000004,5.0,10.1,0.498,2.0,2.8,0.708,0.8,3.6,4.3,8.0,1.6,0.7,3.2,2.2,16.9
30,49,49,1544,6.7,14.1,0.47700000000000004,2.2,5.4,0.40299999999999997,4.5,8.7,0.523,3.7,4.6,0.8009999999999999,0.5,3.4,3.9,4.8,1.2,0.3,2.0,2.7,19.3
22,72,18,1474,2.9,8.8,0.325,1.1,3.8,0.276,1.8,5.0,0.363,3.6,4.7,0.763,0.6,2.8,3.3,4.8,1.3,0.5,2.1,4.7,10.4
33,65,0,1087,4.5,11.3,0.39899999999999997,1.9,5.9,0.32799999999999996,2.6,5.4,0.47600000000000003,3.5,4.3,0.8290000000000001,0.4,3.8,4.2,4.5,1.4,0.2,1.9,3.3,14.5
27,81,81,2947,8.2,18.7,0.44,3.2,9.2,0.34700000000000003,5.0,9.5,0.53,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
24,63,28,1028,4.5,10.5,0.425,1.7,4.7,0.366,2.8,5.8,0.473,2.3,2.6,0.89,0.6,3.3,3.9,4.2,1.6,0.3,1.5,3.3,13.0
29,17,0,231,5.5,14.8,0.368,2.3,7.0,0.33299999999999996,3.1,7.8,0.4,3.3,4.5,0.7240000000000001,0.2,3.3,3.4,4.1,1.2,0.0,3.3,3.3,16.5
25,74,2,1495,5.0,13.1,0.38,2.9,7.4,0.39,2.1,5.7,0.36700000000000005,1.2,1.5,0.797,0.7,3.1,3.8,2.2,1.1,0.1,1.1,2.3,14.1
26,65,35,1525,3.8,9.5,0.40299999999999997,0.9,3.0,0.313,2.9,6.5,0.446,2.3,3.0,0.76,0.8,3.3,4.1,7.9,1.3,0.1,2.4,3.1,11.0
23,46,29,1197,4.8,11.8,0.406,2.0,5.3,0.386,2.8,6.6,0.42200000000000004,2.2,2.7,0.831,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9
32,80,11,1700,4.7,10.9,0.43,1.0,3.0,0.319,3.7,7.8,0.473,1.1,1.4,0.7809999999999999,0.7,3.9,4.6,4.0,1.4,0.5,1.8,2.6,11.4
21,42,0,386,5.8,14.7,0.392,0.7,2.1,0.318,5.1,12.7,0.40399999999999997,3.3,4.6,0.7140000000000001,0.3,3.5,3.8,5.4,1.7,0.7,2.8,3.5,15.5
