Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyus Jones,PG,20,MIN,60,0,774,3.5,8.4,0.414,1.2,3.4,0.356,2.3,5,0.454,1.5,2,0.767,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7
Tyler Johnson,PG,24,MIA,73,0,2178,5.9,13.6,0.433,1.5,4.1,0.372,4.4,9.5,0.46,3.2,4.2,0.768,0.8,4,4.8,3.9,1.4,0.7,1.5,2.9,16.6
Brandon Jennings,PG,27,TOT,81,13,1802,3.8,10.7,0.359,1.6,5,0.313,2.3,5.7,0.399,2.3,3,0.75,0.6,3.3,3.9,7.9,1.4,0.1,2.6,2.3,11.5
Reggie Jackson,PG,26,DET,52,50,1424,7.2,17.1,0.419,1.7,4.7,0.359,5.5,12.5,0.442,3,3.4,0.868,0.5,2.4,2.9,6.8,0.9,0.1,2.9,3.3,19
Pierre Jackson,PG,25,DAL,8,1,84,5.6,16.7,0.333,1.3,4.7,0.273,4.3,12,0.357,2.6,3,0.857,0.4,3.4,3.9,8.1,0.9,0,1.3,2.1,15
Demetrius Jackson,PG,22,BOS,5,0,17,6.4,8.5,0.75,2.1,2.1,1,4.2,6.4,0.667,6.4,12.7,0.5,4.2,4.2,8.5,6.4,0,0,0,0,21.2
Jarrett Jack,PG,33,NOP,2,0,33,2.2,3.3,0.667,0,1.1,0,2.2,2.2,1,2.2,2.2,1,0,0,0,5.5,2.2,0,3.3,4.4,6.5
Kyrie Irving,PG,24,CLE,72,72,2525,9.6,20.2,0.473,2.5,6.3,0.401,7,14,0.505,4.2,4.7,0.905,0.7,2.5,3.3,6,1.2,0.3,2.6,2.2,25.9
Marcelo Huertas,PG,33,LAL,23,1,237,3.8,10.3,0.368,0.6,2.9,0.211,3.2,7.4,0.429,1.4,2.6,0.529,0.3,3.3,3.6,7.9,1.5,0.3,2.9,2.4,9.6
Jrue Holiday,PG,26,NOP,67,61,2190,6.7,14.7,0.454,1.6,4.6,0.356,5,10.1,0.498,2,2.8,0.708,0.8,3.6,4.3,8,1.6,0.7,3.2,2.2,16.9
George Hill,PG,30,UTA,49,49,1544,6.7,14.1,0.477,2.2,5.4,0.403,4.5,8.7,0.523,3.7,4.6,0.801,0.5,3.4,3.9,4.8,1.2,0.3,2,2.7,19.3
Andrew Harrison01,PG,22,MEM,72,18,1474,2.9,8.8,0.325,1.1,3.8,0.276,1.8,5,0.363,3.6,4.7,0.763,0.6,2.8,3.3,4.8,1.3,0.5,2.1,4.7,10.4
Devin Harris,PG,33,DAL,65,0,1087,4.5,11.3,0.399,1.9,5.9,0.328,2.6,5.4,0.476,3.5,4.3,0.829,0.4,3.8,4.2,4.5,1.4,0.2,1.9,3.3,14.5
James Harden,PG,27,HOU,81,81,2947,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
Jerian Grant,PG,24,CHI,63,28,1028,4.5,10.5,0.425,1.7,4.7,0.366,2.8,5.8,0.473,2.3,2.6,0.89,0.6,3.3,3.9,4.2,1.6,0.3,1.5,3.3,13
Jonathan Gibson,PG,29,DAL,17,0,231,5.5,14.8,0.368,2.3,7,0.333,3.1,7.8,0.4,3.3,4.5,0.724,0.2,3.3,3.4,4.1,1.2,0,3.3,3.3,16.5
Langston Galloway,PG,25,TOT,74,2,1495,5,13.1,0.38,2.9,7.4,0.39,2.1,5.7,0.367,1.2,1.5,0.797,0.7,3.1,3.8,2.2,1.1,0.1,1.1,2.3,14.1
Tim Frazier,PG,26,NOP,65,35,1525,3.8,9.5,0.403,0.9,3,0.313,2.9,6.5,0.446,2.3,3,0.76,0.8,3.3,4.1,7.9,1.3,0.1,2.4,3.1,11
Yogi Ferrell,PG,23,TOT,46,29,1197,4.8,11.8,0.406,2,5.3,0.386,2.8,6.6,0.422,2.2,2.7,0.831,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9
Raymond Felton,PG,32,LAC,80,11,1700,4.7,10.9,0.43,1,3,0.319,3.7,7.8,0.473,1.1,1.4,0.781,0.7,3.9,4.6,4,1.4,0.5,1.8,2.6,11.4
Kay Felder,PG,21,CLE,42,0,386,5.8,14.7,0.392,0.7,2.1,0.318,5.1,12.7,0.404,3.3,4.6,0.714,0.3,3.5,3.8,5.4,1.7,0.7,2.8,3.5,15.5
Jordan Farmar,PG,30,SAC,2,0,35,4.1,12.3,0.333,4.1,9.3,0.444,0,3.1,0,0,0,,1,2.1,3.1,9.3,2.1,0,3.1,1,12.3
Dante Exum,PG,21,UTA,66,26,1228,4.5,10.6,0.427,1.3,4.4,0.295,3.3,6.3,0.519,1.7,2.1,0.795,0.9,3,3.9,3.3,0.6,0.4,2.3,4.3,12.1
Tyler Ennis,PG,22,TOT,53,2,588,5.5,12.7,0.433,1.7,4.3,0.386,3.9,8.4,0.457,1.3,1.5,0.84,0.6,2.2,2.8,5.3,1.5,0.1,2.8,3.6,14
Kris Dunn,PG,22,MIN,78,7,1333,3.2,8.5,0.377,0.6,2,0.288,2.6,6.5,0.404,1,1.6,0.61,0.6,3.8,4.5,5.1,2.1,1,2.4,4.8,7.9
Goran Dragic,PG,30,MIA,73,73,2459,7.8,16.5,0.475,1.7,4.2,0.405,6.1,12.2,0.499,4.4,5.5,0.79,0.9,3.2,4.1,6.2,1.3,0.2,3.1,2.9,21.7
Toney Douglas,PG,30,MEM,24,0,394,3.9,10.7,0.368,0.6,3.8,0.167,3.3,6.9,0.48,2.2,2.6,0.828,1.2,4.4,5.6,5.1,1.6,0.5,1.9,4.6,10.7
Spencer Dinwiddie,PG,23,BRK,59,18,1334,3.6,8.1,0.444,1,2.7,0.376,2.6,5.4,0.478,3.4,4.3,0.792,0.7,3.7,4.4,5,1.2,0.6,1.8,3.2,11.7
Matthew Dellavedova,PG,26,MIL,76,54,1986,3.8,9.7,0.39,1.4,3.9,0.367,2.3,5.8,0.404,1.5,1.7,0.854,0.4,2.2,2.7,6.5,1,0,2.4,2.8,10.5
Malcolm Delaney,PG,27,ATL,73,2,1248,4.2,11.2,0.374,0.7,3.2,0.236,3.4,8,0.428,2.2,2.7,0.806,0.3,3.3,3.5,5.6,1.1,0,2.7,3.2,11.3
Stephen Curry,PG,28,GSW,79,79,2638,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3
Seth Curry,PG,26,DAL,70,42,2029,6,12.5,0.481,2.4,5.7,0.425,3.6,6.8,0.528,1.5,1.8,0.85,0.4,2.7,3.2,3.4,1.4,0.1,1.6,2.2,15.9
Quinn Cook,PG,23,TOT,14,0,188,6.3,12.6,0.5,2.1,5,0.423,4.2,7.7,0.55,0.4,1,0.4,0.2,1.1,1.3,5,0.8,0,2.5,2.5,15.1
Mike Conley,PG,29,MEM,69,68,2292,7.3,15.8,0.46,2.7,6.6,0.408,4.6,9.3,0.497,5,5.8,0.859,0.5,3.3,3.8,6.8,1.4,0.3,2.5,2,22.2
Darren Collison,PG,29,SAC,68,64,2063,5.9,12.5,0.476,1.3,3.1,0.417,4.7,9.4,0.495,2.6,3,0.86,0.4,2.3,2.7,5.4,1.2,0.2,2,2.1,15.7
Norris Cole,PG,28,OKC,13,0,125,4.6,15,0.308,0.9,3.7,0.231,3.7,11.2,0.333,2.3,2.9,0.8,0,3.2,3.2,4,2.3,0,2,5.2,12.4
Semaj Christon,PG,24,OKC,64,1,973,2.8,8.3,0.345,0.4,2.3,0.19,2.4,5.9,0.406,0.6,1.1,0.548,0.7,2.5,3.2,4.8,1,0.3,1.6,2.9,6.8
Michael Carter-Williams,PG,25,CHI,45,19,846,4.8,13,0.366,0.6,2.7,0.234,4.1,10.3,0.401,2.5,3.3,0.753,1,5.5,6.5,4.8,1.6,1,2.8,4.3,12.6
Jose Calderon,PG,35,TOT,41,13,539,3.7,8.9,0.41,1.3,4.3,0.313,2.3,4.7,0.5,0.7,0.8,0.917,1,3.9,4.9,5.9,0.7,0.1,2.7,2.4,9.4
Trey Burke,PG,24,WAS,57,0,703,5.9,13.1,0.455,1.6,3.6,0.443,4.4,9.5,0.459,1.1,1.5,0.759,0.4,2,2.4,5.1,0.6,0.3,2.5,2.8,14.6
Bobby Brown,PG,32,HOU,25,0,123,6.7,17.6,0.383,4.1,10.2,0.4,2.6,7.3,0.36,0.6,0.6,1,0,1.8,1.8,4.1,0.3,0,1.5,1.5,18.1
Aaron Brooks,PG,32,IND,65,0,894,4.9,12.1,0.403,1.9,5.2,0.375,2.9,6.9,0.424,1.3,1.6,0.8,0.7,2.1,2.8,5,1,0.4,2.7,3.7,13
Eric Bledsoe,PG,27,PHO,66,66,2176,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12,0.477,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23
Jerryd Bayless,PG,28,PHI,3,1,71,5.6,16.2,0.344,1,2.5,0.4,4.6,13.7,0.333,4.6,5.1,0.9,1.5,4.6,6.1,6.6,0,0,4.6,2,16.7
J.J. Barea,PG,32,DAL,35,6,771,6.6,16,0.414,2.5,6.9,0.358,4.2,9.1,0.456,2.1,2.4,0.863,0.4,3.5,3.9,9,0.7,0,2.9,1.4,17.8
Wade Baldwin,PG,20,MEM,33,1,405,3.2,10.2,0.313,0.3,2,0.136,2.9,8.3,0.355,2.8,3.3,0.838,1,3.1,4.1,5.4,1.6,0.6,3.5,3.6,9.4
D.J. Augustin,PG,29,ORL,78,20,1538,4.6,12.1,0.377,2.2,6.4,0.347,2.3,5.7,0.412,3.1,3.8,0.814,0.4,2.4,2.7,4.9,0.7,0,2.1,2.4,14.4
